iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:44:22 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"65536"   0  0  0  0  22313681  22390018  25480428  22685674  24184638  17264242  11031384  4734963  4634455 
"131072"   0  0  0  0  22672394  24385032  27052508  27272602  28097785  27392184  19548398  5424500  4620580 
"262144"   0  0  0  0  23839818  25187073  28343183  27409122  27184812  27202298  18498523  4923264  4542820 
"524288"   0  0  0  0  25201161  26677202  29373258  29284853  30755653  26031089  23250943  4971107  4526585 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   12902017  20962191  30484297  34389688  64000000 
"128"   12842051  20804356  20804356  25804035  25804035  31945770 
"256"   12090911  18259146  21558614  25684103  25684103  28401588  31762157 
"512"   12427157  17776344  21516644  23139567  24181823  24457224  27250360  30329249 
"1024"   12790037  18608584  22748081  26219889  25594883  25594883  27045423  26876184  29256135 
"2048"   13138359  17501701  23546602  27637635  26204348  26610232  24984852  27726845  28844090  28844090 
"4096"   11539362  17569819  21560926  24101756  24067991  23412013  24237769  23933871  25271734  27278046  28080596 
"8192"   11284706  16155560  21277939  24166268  26014226  23001477  24811956  25120335  24234447  25047088  18162403  13085407 
"16384"   11368351  15281842  19668946  20606740  15783772  20582053  18224083  19180352  14590724  11252933  8184002  6485535  5642083 
